objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid,unique_id
1.23765e+18,183.5313257,0.08969303,19.47406,17.0424,15.94699,15.50342,15.22531,752,301,4,267,3.72236e+18,STAR,-8.96e-06,3306,54922,491,4aac0003-cb3a-4cfc-8b9c-446c797b1e25
1.23765e+18,183.5983705,0.135285032,18.6628,17.21449,16.67637,16.48922,16.3915,752,301,4,267,3.63814e+17,STAR,-5.49e-05,323,51615,541,5ea369e0-111f-4c47-ab00-f53f2e1ad58d
1.23765e+18,183.6802074,0.126185092,19.38298,18.19169,17.47428,17.08732,16.80125,752,301,4,268,3.23274e+17,GALAXY,0.1231112,287,52023,513,91ea87d3-6df4-4361-90b3-e0f1eb73b8a2
1.23765e+18,183.8705294,0.049910685,17.76536,16.60272,16.16116,15.98233,15.90438,752,301,4,269,3.72237e+18,STAR,-0.000110616,3306,54922,510,70fb152f-3d84-4ff9-a158-c4958213a1ea
1.23765e+18,183.8832883,0.102556752,17.55025,16.26342,16.43869,16.55492,16.61326,752,301,4,269,3.72237e+18,STAR,0.000590357,3306,54922,512,83a90c54-d7c8-4b9c-9db7-053830b2ee05
1.23765e+18,183.8471736,0.173694164,19.43133,18.46779,18.16451,18.01475,18.04155,752,301,4,269,3.64955e+17,STAR,0.000314603,324,51666,594,46b718cf-7af3-488c-a0ed-7d3ec4f1fc84
1.23765e+18,183.864379,0.019200711,19.38322,17.88995,17.10537,16.66393,16.36955,752,301,4,269,3.23287e+17,GALAXY,0.1002423,287,52023,559,e37a9c5c-b06e-4b85-a8f1-fa360005625d
1.23765e+18,183.9000814,0.187473297,18.97993,17.84496,17.38022,17.20673,17.07071,752,301,4,269,3.72237e+18,STAR,0.000314848,3306,54922,515,01800a44-14ec-4600-b917-cb304ed36fcd
1.23765e+18,183.9245885,0.097245782,17.90616,16.97172,16.67541,16.53776,16.47596,752,301,4,270,3.63829e+17,STAR,8.91e-05,323,51615,595,dc513c66-5d85-4c5f-b2b7-b4b9cec9c84c
1.23765e+18,183.9734977,0.081625582,18.67249,17.71375,17.49362,17.28284,17.22644,752,301,4,270,3.24369e+17,GALAXY,0.04050813,288,52000,400,51a2ecd5-c392-409b-a08b-bfd120e3cf12
